term document_frequency
proclaimed: 1
tonight 13
re-launch 3
nation-bas 2
quad 5
coat 20
cambior 3
46.92 2
us$150 5
bradbrook 2
ondaatj 4
mccutcheon 4
0.05 11
25.05 1
thriller: 2
sewn 3
teck 14
edict 11
barrick-bre-x 2
hors 15
c$1.10 7
c$24.45 2
c$1.90 2
c$23.35 2
boldli 5
undisput 6
merukh' 2
aleck 2
trawick 2
lars-er 4
johansson 5
unauthor 4
salathiel 3
'96 14
goldi 2
sidewai 7
us$4 3
us$3.46 2
patricia 3
mohr 3
us$0.29 2
us$0.33 3
c$0.18 2
c$0.47 2
416-941-8104 2
duo 3
suav 1
unnatur 1
david-and-goliath 2
epitom 1
grandios 1
tenni 10
munk' 3
recreat 9
clairton 1
$7,400 1
$148,000 1
multi-millionair 2
jeannett 1
sigit 5
harjojudan 1
sigit' 3
eclips 17
otto 1
poehl 1
$18.25 2
c$5.9 1
c$160 2
$116 5
10-for-on 1
c$40 4
stubborn 4
achil 2
cbc 4
newsworld 1
51.1 3
50.5 1
statscan 1
lavign 1
400,000-member 1
cahadian 1
comeback 22
295 8
c$50-million 1
vic 4
anvil 3
faro 5
cream 21
potash 9
noranda 5
$14.8 4
noranda' 2
alcan 4
one-c 4
lucienn 1
robillard 1
$180,000 1
c$450,000 1
c$350,000 1
c$3.75 1
33,000 6
kickoff 3
left-lean 7
ndp 2
right' 1
left' 1
middle-of-the-road 4
lick 4
short-chang 4
us$4.3 1
c$16 2
c$24.3 2
$17.4 2
perplex 6
counter-propos 1
placer' 3
undaunt 2
leggatt 10
syakareni 1
67.5 1
askatindo' 1
renato 7
ruggiero 7
acce 1
130-member 1
wto' 6
is: 5
barshefski 8
softwood 1
garant 1
whalen 1
beliveau 1
us$370 1
tbf 1
canada-u. 1
fee-fre 1
lumber/year 1
us$50 2
us$100 5
withheld 3
scotiabank 5
toronto: 1
yane 1
marleau 1
lemir 1
macdonald 1
dartmouth 1
west: 1
us$405 1
28.75 1
613-235-6745 1
helms-burton 3
brittan 9
quadrilater 1
uhit 1
nafta 2
anti-cuba 1
throught 1
there'd 2
agreeement 1
eggleton 8
c$0.50 4
blank 3
416-941-8100 6
zaire' 6
mobutu 4
sese 4
seko 4
zair 4
prostat 8
mobuto 1
kinshasa 3
western-impos 1
mccurri 3
solout 1
creatur 2
chaprter 1
rwandan 1
zairean 4
canadian-l 1
airdrop 1
machet 2
617,500-hectar 1
temagami 1
basa 1
1973 10
raucou 2
environmentalist 4
denomm 2
crap 2
severin 1
copper-zinc 1
timmin 4
gendron 3
aborigin 5
innu 2
inuit 4
scholarship 2
imprint 2
fields' 1
3,125,631 1
36.5 5
anglo 9
pierina 6
pascua 3
gignac 10
us$56 1
us$0.15 1
us$78 1
us$0.22 1
us$218 1
us$0.60 1
us$292 1
us$0.82 1
35.70 1
26-1/2 2
nation)-consist 1
reg 12
whitak 1
liberals' 2
burner 5
feebl 1
minden 2
leaders' 3
country-specif 1
muchtar 2
pakpahan 2
convei 3
pakpahan' 2
mudsling 2
racism 2
reform' 3
sikh 2
parties' 3
crucifi 4
tori 6
manning' 2
election 2
name-cal 2
sexism 2
sexist 2
mcclelland 2
sheila 2
copp 2
bitch 4
rigaux 2
homosexu 4
gai 3
bigot 2
anti-immigr 2
hasan' 1
harbor 1
larabi 1
belo 1
backup 2
ftaa 1
bolivia 3
impedi 6
cleari 4
said."argentina 1
c$2.5 2
$1.79 1
$802 1
insulza 1
pedest 2
bautista 2
quebec-born 1
lucien 1
bouchard 1
sovereigntist 1
quebec: 1
non-quebeck 1
niagara 2
falls: 1
decentr 3
old-lin 6
federalist 3
neck-and-neck 4
vote-rich 1
36-dai 1
bal 2
sandhu 1
ottawa' 1
mushka 1
revil 1
knowlton 1
credenti 7
western-typ 1
inmet 2
months: 1
antamina 1
algom 5
bellow 2
clench 1
fist 7
c$364 1
denison 1
c$355 1
bougrin 1
tunisia 1
izok 1
cay 1
troilu 1
petaquilla 2
adrian 10
c$17 2
c$185 1
8.85 1
11.13 3
tvx 4
million-ounce-a-year 1
davis' 3
britannia 3
berardi 3
sangster 1
rtz-cra 13
baer 1
greec 4
423,000 1
kassandra 1
unsettl 16
14.85 1
7.50 2
crevic 1
resurrect 10
lamarch 2
moan 3
amber 3
moderator' 2
anti-climact 2
mcrobert 2
pro-sovereignti 2
francophon 2
feistier 1
chretien' 2
c$42 2
us$30.3 1
defecit 1
us$11.5 1
anglophon 1
shone 1
articul 2
charest' 1
shrift 1
conference' 1
trade-ori 1
self-emploi 5
186,000 1
195,000 2
sync 1
heather 3
scoffield 3
deport 4
airmen 4
mcgilli 1
hani 1
abdel-rahim 1
al-sayegh 1
sayegh' 1
gaetan 1
blai 1
sayegh 1
khobar 1
dhahran 1
hizbollah 1
fundamentalist 1
lebanon 4
baum 5
shi'it 1
syria 1
jaafar 1
chueikhat 1
syrian 1
ahm 1
ibrahim 2
ahmad 1
al-mughassil 1
copper-cobalt-nickel 1
c$350 2
$256 1
vbn 1
texan 11
metric 4
thiessen 4
jestin 2
above-potenti 2
18,700 1
38,000 3
19,300 1
44,000 2
lazar 2
solberg 1
martin' 5
donolo 1
715,000 1
aan 1
malnourish 1
hatchet 1
gallop 6
two-tier 4
setup 3
c$12.5 1
mclellan 1
c$4.8 1
dongsheng 4
gruell 5
marathon 17
all-night 5
yi 13
blatant 8
low-level 3
nationalist-rul 5
concernc 1
cloak 4
militaris 1
fence-mend 2
sandra 4
kristoff 1
eicher 1
limb 1
be...on 1
it...stil 1
lse 1
trajectori 4
presag 1
battlegroup 3
eleventh 4
mccahil 1
tsingtao 2
once-impregn 1
foreign-fund 11
brand-nam 4
out-advertis 1
thirstier 1
brewery' 1
scenic 7
qingdao 7
romanis 1
zuoyi 1
70-80 4
glamour 6
1903 1
tsingtao' 1
4,000-strong 1
eiu 1
xianzeng 6
dan' 12
xiangzeng 1
193 6
hard-hit 4
uncharacterist 5
rapproch 4
four-hour 4
politically-orchestr 1
sham 8
did...offend 1
lingyun 19
jinzhou 2
draughti 1
frigid 3
illnesses...thei 1
detent 40
haiti 1
nigeria 7
380,000 4
ye 7
consumer-l 2
unsel 1
men' 6
defianc 5
96.27 1
93.04 1
interlock 3
triangular 3
scandal-hit 3
xitong 13
derelict 6
77,611 2
33,879 2
embezzl 11
guoq 1
disgrac 19
baosen 7
baifa 6
procuratori 1
rectitud 1
honesti 5
china-bash 1
unsurpass 1
nostalg 2
washigton 1
handshak 20
jeremi 10
hanlei 6
ping' 3
podium 1
dignifi 6
heseltin 3
legco 27
duli 1
hainan 7
737-400 1
737-800 1
feng 2
$60-70 1
haikou 1
fairchild 1
dollar-denomin 2
china...and 2
magnat 41
boister 4
stage-manag 3
xianglong 6
viii 4
yuan' 3
new-found 3
efficaci 6
mexican-styl 1
mekong 3
war-torn 4
sub-region 4
bong-suh 1
adb 2
lao 5
bangkok 19
phnom 3
penh 3
vietnam' 1
minh 4
gunther 1
hecker 1
adb' 2
riven 1
borderlin 1
khmer 2
roug 8
kunming-to-bangkok 1
loop 8
deforest 4
mekong' 1
asean 1
finn 1
nielsen 1
strengthened,' 1
ccp 1
buttress 6
pla' 6
13-chapter 1
forebear 2
scholar 6
'absolut 1
loyalty' 1
leadership' 6
yuzhang 1
expansion 1
shouliang 1
eunuch 1
mockeri 2
castrat 2
yaot 1
biograph 1
yinghua 1
1902 1
genit 1
wield 12
emascul 1
guanghua 1
shroud 5
embroid 1
motif 1
pu 1
70-year 1
inaccuraci 1
curat 2
eunuch' 1
post-revolut 1
ferment 8
stormtroop 1
feudal 5
buddhist 24
reincarn 12
dog' 1
throne 1
prickli 2
often-hostil 1
weari 3
pleasant 10
amiti 2
docil 1
7,000-word 2
tirad 5
broadsid 6
tiei 5
lingui 1
480-million-tonn 1
lower-than-market 1
granari 2
uncontrol 3
uneas 10
enthusia 1
sap 6
grain-collect 1
harvest-tim 1
tong 7
zeng 4
integrity...w 1
257 2
petition 2
servicemen 4
125 25
uninhabit 3
islands' 1
seinen-sha 1
five-metr 1
16-ft 1
party-control 1
signatori 5
anti-poverti 3
530 6
wand 2
months-old 1
inland 18
westward 1
crow 7
6,780 1
high-infl 1
'soft 2
landing' 1
11.8 19
once-fierc 2
second-half 14
42-month-old 2
4,380 1
mistrust 4
sensationalis 1
defil 1
detaine 2
conjectur 1
upfront 11
400-member 25
beijing-control 12
diaoyutai 1
congratul 6
guesthous 1
undemocrat 15
jiahuang 2
wu' 2
oft-stat 2
decade-long 5
gatt 2
sunken 2
moftec 2
moftec' 3
min 7
anti-communist 7
deem 22
pornograph 4
censorship 5
sousa 1
bandit 2
insensit 4
unlicens 1
counterfeit 4
pornographi 9
ziqiang 1
zhongd 1
year...w 1
audio-visu 1
6,912 1
20-30 8
$2.40-3.60 1
even-hand 1
cut-pric 2
bao 4
zunxin 2
fuller 4
stoni 2
bloodili 5
populac 5
multipli 15
profit-mak 1
bao' 1
xiaobo 17
anti-crim 2
all-pervas 1
hard' 1
brigadi 3
abel 5
rangoon' 1
oecf 1
$185 3
junta 2
kenzi 1
oecf' 1
state-back 2
rangoon 2
unspoken 1
slorc 1
260 5
danish 7
nichol 3
seven-countri 1
laureat 2
1996-2000 7
ever-sensit 1
zhensheng 1
1931 1
grant-in-aid 2
1,610 1
yen' 3
leader-design 2
situt 1
kong-elect 1
beijing-approv 3
authoritii 1
progess 1
multimillion 4
$383 2
touchi 4
hearten 20
286-passeng 2
combi 9
301-seat 2
sounder 2
imprud 1
incompet 2
barg 4
fashionably-dress 1
joseph' 1
wangfuj 1
church-goer 1
crucifix 1
battery-pow 1
clau 4
doll 4
congreg 2
devote 1
worshipp 1
twin-dom 1
1655 1
affluent 9
sharpest 4
disco 3
stroll 5
rebuilt 3
1905 3
seminarian 1
communist-control 1
commercially-ori 1
choir 2
hotel' 1
haii 1
pleasure-seek 1
70-someth 1
parishion 1
peacekeep 6
disarm 3
48-year 1
guatemala' 4
peace-keep 1
u.n.-brok 3
14-1 1
rous 5
non-recognit 1
taipei' 7
negotiatior 1
malici 4
slander 2
tian 5
'reheat 1
food' 1
scholars' 1
overt 3
long-strain 2
similarili 1
dong 3
yunhu 1
deter 13
lopsid 1
shen' 3
downbeat 5
steadfast 4
persever 1
116,000 3
jianx 5
72,000 4
$11.3 4
extravag 4
one-upmanship 1
oner 6
uneven 6
yunnan' 1
paixiang 1
bulwark 1
zou 1
shaolu 1
'kingdom 1
metals' 1
3.14 1
$378 3
government-sector 1
trilliion 1
landing,' 1
macroeconomi 1
exceedingli 2
liberty' 4
delegation' 2
pocket' 4
sled 5
lynn 8
charytan 2
wilmer 2
cutler 2
fcc' 33
johathan 2
chantilli 2
hundt 39
broach 3
paperwork 4
counterproduct 4
airwav 26
re-auct 2
age-bas 5
states' 15
'forbidden 1
fruit' 1
cantor 1
motion-pictur 7
pg-13 4
3,235 1
tv-pg 8
tv-m 8
content-bas 8
hbo 8
markei 9
d-mass 4
world 5
valenti 10
back: 1
'sex 1
violence' 1
that: 6
unpunish 1
bid-rig 2
fetech 1
interv 1
oxlei 1
mccain 7
presumptu 1
lawmakers' 2
billi 9
tauzin 8
cellular-phon 1
crazili 1
sexi 2
quip 3
fitzgibbon 1
case-by-cas 5
reauction 2
rulemak 4
tauber 2
marburi 2
'pr' 2
airgat 2
action: 2
reinstat 11
payments; 2
rejig 4
cleland 13
schwab 15
will: 3
multi-lin 5
pre-subscrib 2
single-lin 2
home-bas 1
flak 4
r-az 1
w.j 3
r-la 4
dingel 1
conduc 4
peril 2
shoal 1
high-energi 1
rerat 1
lengthen 3
middle-of-th 1
shark-infest 2
says: 2
'be 1
swimming,' 1
categories: 3
tv-g 7
ages; 6
suggested; 5
tv-14 7
cautioned; 4
only; 1
shows: 2
tv-y 4
children; 1
tv-y7 4
nanosecond 3
age-appropri 1
breaux 1
eddi 6
fritt 4
hundt' 4
3-1/2-year 1
ness 15
kennard 1
kathi 4
bureau; 1
ralph 8
everett 2
visionari 7
legg 1
pro-competit 4
dunn 14
crutcher 8
micro-manag 1
coast-to-coast 10
cd-qualiti 13
comission 2
d.c.; 4
reston 5
va.; 4
seattle; 2
primospher 7
subscription-bas 8
commercial-fre 5
rachel 8
chong 8
quello 4
$683 5
public-interest 6
multipoint 2
lmd 2
zap 3
5-4 1
must-carri 1
free-speech 3
solicitor 4
delling 2
home-shop 1
infomerci 1
low-pow 2
o'connor 6
majority' 1
delv 1
untest 1
oral 16
agrument 1
decker 3
anstrom 2
ecstat 3
elat 6
over-the-air 1
popham 1
schwartzman 1
digital-tv 2
washington-area 1
$173 1
$89.9 1
$83.3 1
antenna 6
margoles 2
non-mus 1
lon 1
reluctantli 5
station' 3
radio' 1
$5.25 2
$12.625 1
satellite' 1
dar 3
corp.; 4
extra-clear 1
raiser 1
willy-nilli 1
haphazard 2
cruncher 1
elsewhere; 1
corp.-nynex 1
cities; 1
plunk 1
minneapolis-st 1
moin 2
omaha 8
neb 1
guam 1
14th 8
fcc-impos 2
frill 3
outset 11
kimmelman 4
ma 12
per-minut 2
stepped-up 2
crystal-clear 3
twenty-four 5
stations' 1
network-own 1
evalut 1
quello' 1
chong' 1
rig 7
divvi 2
1,479 4
small-compani 1
coper 1
westwood 1
kan.-bas 4
bluf 1
theorist 2
llc' 1
caldwel 2
needlessli 2
dbsc 2
rsourc 2
foreign-languag 2
all-sport 2
advertising-support 2
auction' 3
communications-equip 3
l.m 3
ericsson 5
riker 2
inda 2
city-by-c 1
dallas-ft 1
honolulu 2
roosevelt 4
293-132 1
13,200 1
moderate-incom 1
less-deregulatori 1
public-h 1
tenant 16
slaveri 3
needi 3
lazio 2
argued: 1
3,400 2
would: 1
median 9
able-bodi 1
tenant' 1
disincent 6
evict 4
hud 1
$29.5 2
fire-safeti 2
supress 1
fire-suppress 2
pathet 2
defazio 2
oregon 9
592 3
unknowingli 2
corp./nynex 3
wc 3
multi-dai 2
$5.3 6
104 7
state-wid 2
mhz 8
lastest 4
government-impos 5
pac.n 1
bankrol 5
blau 1
deregulatori 1
286-141 3
toughli 3
muster 6
thea 3
mfn' 3
bauer 3
high-wat 4
pro-mfn 3
paxon 3
thumb 13
chafe 3
rhode 3
roller 10
coaster 3
pelosi 3
delink 7
calman 3
goos 6
firm: 1
$36.1 2
zeal 3
2006 5
distil 12
discu 4
bulli 4
pulpit 2
hard-liquor 2
meister 3
backslid 1
workabl 3
suppressor 3
900-number 1
pay-per-cal 1
unwit 1
prefix 5
astrolog 3
psychic 1
guyana 1
sao 1
tome 1
moldova 1
809 1
758 1
difference: 1
kickback 1
audiotex 1
sophistict 1
unbeknownst 1
disconnect 5
teleservic 1
commimss 2
$20.65 2
charleston 1
s.c 1
funeral-parlour 1
$7.60 1
$18.5 4
access-charg 2
debra 1
berlyn 1
reed-delling 1
huf 4
puf 5
here' 4
billion-plu 5
reemerg 3
fret 13
reconstitut 2
greene' 2
240,000 3
pactel 6
humpti 2
dumpti 2
late-night 5
gigi 1
sohn 1
cb 6
wharton 4
high-defit 1
up-to-the-minut 2
rev 4
caller' 1
eavesdropp 3
itself; 1
card; 1
berklei 1
counterpan 1
counsult 1
symptomat 4
law-enforc 2
eavesdrop 3
underag 3
cme 1
dougherti 1
bud.n 1
moet 3
chandon 1
smirnoff' 1
vodka 6
dewar 1
scotch 10
whiskei 5
rum 1
following: 2
kbud 1
rock-star 1
breweries' 1
berserk 1
banff 2
cuervo 1
tequila' 1
roadhog 1
mola.to 1
cyberrod 1
strewn 3
tequila 1
curevo 1
recip 8
alcohol' 1
novic 4
adult-ori 1
cme' 1
chester 2
companni 1
rocket-launch 1
primosphere' 1
burnstein 1
trek 8
satellite-broadcast 2
savior 1
effro 2
colorado-bas 5
deathstar 2
pizza-s 3
chutzpah 2
retransmit 2
must-pass 2
r-va 2
3-2 3
azcuenaga 1
rosco 1
starek 1
warner-turn 1
tci' 2
malon 1
turner' 2
warner/turner' 1
pitofski 1
moritorium 1
netowrk 1
wholeheartedli 2
infring 21
budgetari 5
kain 1
collector 4
tacoma 1
quilt 1
wyden 1
republican: 1
hyperbol 2
high-pric 2
co-director 2
arcan 7
rosenblum 1
mccloskei 1
advice: 1
bernstrom 1
stenitz 1
dryli 1
aircrew 2
officers' 3
rfi 1
tak 24
freighter 31
occurr 3
findlai 3
ofta 1
liais 1
tel+44-171-542-7706 6
fax+44-171-542-5017 4
presnail 1
klm' 1
tel+44 90
7706 75
5017 78
10.35 3
64,843.64 2
89,461.59 2
151.20 1
320.54 1
14.89 1
4,244.56 1
5,613.22 1
11.45 2
australasia 8
3,537.29 1
3,418.21 1
0.98 3
10,857.35 1
11,388.83 1
4.27 1
6,580.89 2
14,376.34 2
10.12 2
1,963.18 2
2,950.68 2
13.15 3
1,055.31 1
2,008.03 1
31.18 1
14,867.27 1
13,238.23 1
18.79 1
43.11 1
91.15 1
25.67 1
10,703.19 2
10,289.98 2
33.98 2
3,905.32 2
4,621.35 2
4.63 2
usa/canada 3
2.66 5
fax+44 62
lamar 3
durrett 3
kong-canada 2
hamstrung 2
chek 23
kok 23
foyl 1
outsiz 2
antonov 1
an-124 1
tulsa 1
757/767 1
volkswagen' 2
nether 1
locomot 10
pitt 4
aerobat 1
airshow 4
'no' 1
this' 1
96.7 2
ex-hong 11
northwest' 1
slowest 3
us$6 3
8-10 8
narita 5
44-171-542-5017 5
sedelmai 2
'just 2
time' 1
auckland 1
cathay' 15
auckland' 1
louis 3
mcneil 1
hactl 11
computeris 5
pallet 9
yueng 2
keung 2
gantri 2
dimension 2
supertermin 3
hactl' 5
'shark 1
skin' 1
revolutionis 11
a340-300 8
adhes 6
riblet 1
textur 2
sharks' 1
shark 3
lengthwis 1
rome 2
zurich 5
system-wid 1
hk 14
cents/kg 1
slacken 5
cad 4
sia 1
sia' 1
747-200 7
changi 3
8982 7
cobra 2
stew 1
gall 2
bladder 1
brandi 2
hessian 1
contraband 2
chan 61
belli 12
7016 1
146 5
727 3
nnnjing 1
hangzhou 6
sinotran 2
shenyang 4
xian 3
wuhan 7
ningbo 4
273 3
pearl 13
shop' 2
oaa 2
stirland 1
paris-charl 1
us$24,000 1
$23,000 1
kwan 2
chuk-fai 1
knowhow 1
kok(clk 2
airfreight 4
retic 4
hk$7.8 4
tel 5
44-171-542-7706 2
affc 1
tsim 1
de-consolid 1
haffa 6
off-airport 2
dhl 5
emeri 1
k-line 1
kintetsu 2
baltran 2
affc' 1
msa 3
hk$10 2
hk$1.9 1
sub-leas 1
22,835 1
15.19 2
non-schedul 3
66,257.73 2
90,473.44 2
158.86 1
354.19 1
28.24 1
4,297.56 1
5,143.29 1
13.68 1
3,744.77 1
3,297.38 1
10,883.78 1
11,210.77 1
4.41 1
6,975.49 2
13,306.77 2
11.42 2
2,122,49 1
3,286.41 2
11.77 2
1,026,78 1
1,895.87 1
17.79 1
14,967.99 1
13,937.47 1
19.26 1
43.35 1
82.49 1
29.86 1
10,591.85 2
10,035.60 2
33.55 2
4,060.89 2
5,058.33 2
2.38 3
7,383.23 1
22,834.83 1
22.21 1
fax:5017 3
3,178.64 1
2,941.36 1
4.08 1
1,851.36 1
1,951.16 1
13.94 1
2,214.39 1
2,167.83 1
6.74 1
4,114.32 1
4,865.89 1
3.94 3
3,250.40 1
4,441.79 1
7.08 1
1,909.95 1
1,803.46 1
5.55 2
1,890,62 1
2,028.71 1
66.43 1
2,611.37 1
2,516.16 1
64.02 1
3,893.81 1
4,258.78 1
5.98 1
4,567.28 1
3,132.42 1
10.66 1
5,088.38 1
19,254.36 1
4.64 1
hk$49.8 2
embargo 1
denver' 1
haffa' 2
cartag 1
hk$1.40 1
devan 1
hk$160 1
382 1
747-fleet 1
1,156 1
eva 5
bhd 6
asiana 2
nuigini 2
garuda 2
europe-bound 1
17-23 1
barrington 2
hk$20 3
100kg 2
polar 9
calmer 1
u.s.-bound 5
apac 5
hk$23 1
hk$24 1
bour 6
hk-pari 1
260-member 1
cnntinu 1
cargo' 3
re-ord 2
cargolux 4
twice-weekli 1
abu 5
dhabi 5
5,700 4
12.8 13
intra-asian 1
all-cargo 5
nca 2
ana' 1
bellyhold 3
hk$14-15 1
shippers' 5
martinair 5
tseng 4
mini-boom 1
pre-christma 5
standtil 1
hk$15 2
yoichi 1
ex-hk 2
trans-pac 1
seung 2
joo 1
kal 2
a300 1
kal' 2
west-bound 1
bouyant 3
pre-chines 1
colombu 1
mini-peak 1
garment 6
thankfulli 1
markedli 9
miu 1
pre-holidai 3
'mini-boom' 1
mui 1
hk$20.50 1
$19.50 2
'second 1
tier' 1
evergreen 5
kersti 4
krepp 4
trans-pacf 1
negotiat 1
5,500 7
3,225 1
3.071 1
985 1
9,016 1
9,441 1
4,502 1
iata 5
jeanniot 2
us$12,000 2
iata' 1
gaillard 1
quadrupl 1
us$3,000 2
us$9,000 2
kansai 5
wil 3
hk$1 2
hk$1.80 1
alitalia 2
emir 6
hk$1.50 2
optimis 6
fax+5017 1
2,661 1
15,720 1
67,572 1
5,788 1
swire 6
a340 19
de-activ 1
hydraul 1
mauritiu 1
depar 1
forwarders' 2
tak' 2
re-design 1
apron 1
kong-vancouv 1
$192 1
c$12 1
tangri 1
headwind 2
combi' 1
payload 11
signifi 6
chep 5
osaka' 2
lantau 4
trawl 1
vacanc 5
oakerve 1
a340' 1
ultra-long 1
fuel-effici 1
a340-200 3
cargonet 1
edi 1
leong 1
shopfloor 2
vice-versa 2
cargonet' 1
0293.hk 1
newly-introduc 1
306 3
deceler 1
eddington 2
commander' 1
cabin 1
777' 1
condens 8
unsaf 5
777-300 3
tran 10
overflight 2
timescal 4
horst 6
gps)satellit 1
navigation/air 1
cns/atm 2
datalink 1
hk$23-24 1
fax+544 1
ana 4
8-9 2
rota 1
wife' 2
academia 2
542-7706 8
542-5017 8
berweg 1
leapt 13
clement 5
nieh 1
md-11 5
dubai 4
eva' 1
md-90 1
shorthaul 1
3,330.30 1
2,866.51 1
1,917.65 1
1,804.84 1
16.23 1
2,122.49 1
2,310.18 1
2,285.52 1
14.94 1
4,036.83 1
4,814.84 1
8.07 1
3,370.43 1
4,008.83 1
10.93 1
2,127.11 1
1,975.74 1
12.02 1
1,725.78 1
1,717.63 1
32.38 1
2,266.74 1
2,657.19 1
66.40 1
4,186.57 1
4,509.78 1
4,442.54 1
3,166.42 1
14.02 1
5,474.80 1
21,133.53 1
23.24 1
15.91 1
beechcraft 1
harnischfeg 4
lac 4
wisconsin-bas 7
6-3/4 1
20-3/8 1
mcdonald 5
aftermarket 8
$64.1 2
brumlei 8
darren 4
bagwel 2
baird 4
harnischfeger' 3
41-3/4 4
huntington 1
$898 1
$29.875 2
$30.75 3
$29.50 2
duwan 4
keef 6
bruyett 5
at-market 1
schutz 10
huntington' 2
stockholders' 1
wobst 1
merger-rel 3
$29.275 1
kmiotek 6
double-d 1
triple-c 1
doyle' 11
charad 9
misstat 7
judith 3
13-month 2
mcdevitt 1
gull 1
reiland 1
12-15 5
$36-$40 1
$35-$36 1
27-1/4 1
wallace' 2
bohring 1
59.8 2
moore' 3
172 7
capitalisaiton 2
fitch 4
durant 3
14-7/8 1
wedesdai 1
$3-$4 1
motorola' 2
heimbach 1
schaumburg 4
non-discriminatori 5
rockwell' 2
retailers' 4
grangaard 1
gs2 1
$60.875 6
$67.75 3
rok.n 2
mot.n 1
usrx.o 1
easier-to-access 1
brickyard 1
297 3
333 3
areas: 1
dinnerwar 1
store; 1
childrens' 2
apparel; 1
pet 11
disorgan 1
antonini 1
off-the-mal 1
275 5
sears' 5
baffico 2
mall-bas 2
minneapolis/st 2
$650 9
780 11
tenn.-bas 5
autozon 2
manni 3
moe 3
latz 3
caterpillar 10
$394 3
peoria 8
$4.26 2
$296 3
$3.84 3
$81.75 1
bbosworth 2
26.8 3
impact' 2
oberhelman 5
greater-than-expect 5
50-75 2
$631 2
$19-a-shar 1
$6.73 1
$20.36 1
$747 3
vigour 8
bosowrth 1
$42.25 5
$127 5
brincat 5
holleb 4
coff 4
jayhawk 2
$15.5 3
reevalu 1
evanston 2
enterprise' 1
$8.875 1
terra 5
giverni 2
endow 4
$950 1
rosso 8
racin 1
mx 1
midsiz 1
deer 4
quadtrak 1
terrain 5
loader 1
oregon-bas 2
$59.08 1
6-3/16 1
54-7/16 1
grundhofer' 4
palat 5
barkoci 5
bancorp' 4
biggar 4
$340 5
74-3/4 1
firstar 7
cleveland-bas 2
keycorp 9
nbd 15
sub-prim 3
nobody' 2
riskier 1
reliance' 1
kaplan 2
gun-shi 2
tcf 6
ilslei 2
cross-town 1
$92 2
tcf' 1
financial' 1
skiba 1
$3.66 2
$376 1
$84.75 1
maier 5
everen 13
m&amp;i' 1
chicago-area 1
maf 1
$0.625 1
$0.56 2
$36.75 3
$85.50 2
14th-largest 3
toehold 4
0.755 3
$74.875 1
$56.53 1
grundhof 3
$625 7
cameron 5
$717 3
nebraska-bas 9
firstier 3
$12.75 2
seak 1
hyatt 5
upscal 6
chicago' 5
pritzker 2
hyatt' 2
l.l.c 2
pritzkers' 2
investment-grad 2
burland 2
hoteli 8
marriott 6
starwood 2
earth-shatt 3
$326 3
1.2877 2
$327 4
wintrhop 1
winthrop' 1
$36.50 4
$46.50 1
liabilit 2
concili 5
17-month 2
illinois-bas 4
caterpillar' 4
fmc 1
calhoun 1
clingan 1
974 1
$16.52 2
cateprillar 2
zimmerman 3
wells' 1
yockich 1
$93.375 1
carson 5
piri 5
tell-tal 2
niemira 8
4-6 5
same-sal 2
comparable-stor 5
quirk 5
plano 5
tex.-bas 2
jcpennei 2
strata 2
fully-emploi 2
pay-hik 2
montgomery' 2
horticultur 3
ancel 4
crabtre 4
ei 13
earnings: 1
$0.84 2
$0.77 4
$0.46 4
$0.97 1
$0.88 5
$0.81 2
$0.73 2
47-3/4 1
schaeffer 4
rakesh 2
sood 2
54-1/8 1
kalov 1
$601,000 1
$90.4 1
dectector 1
oncom 1
$69.95 1
speeder 1
spurt 6
chat-room 1
$75.375 2
$56.91 2
higher-incom 1
cannabil 1
$46.625 1
comapni 3
$8.25 1
musuem 1
81-5/8 1
vin 1
gupta 1
hiccup 7
unnnecessari 1
$86.8 1
verifi 10
lookup 2
avaialbl 1
$10-$20 1
less-than-pristin 1
kopec 5
liquidti 1
barlow 3
guardedli 1
spade 1
answered: 3
aspirin 1
honcho 1
schroll 4
$74.4 1
$46.27 1
baybank 1
tucker 4
cumberland 1
bankboston 6
lookalik 1
bank/u. 1
9,500 2
mosine 1
olvei 1
paper-convert 1
commerici 2
mosinee' 1
$314.5 1
99,000 1
above-averag 5
lamin 3
countertop 2
$19-per-shar 1
33.2 2
jefferi 7
glade 2
papermak 1
$45.375 2
$81.625 1
ikenson 4
stronger-than-expect 5
larget 1
blueston 3
read' 1
$30.25 5
$54.875 1
$26.75 3
used-auto 1
faulti 3
information-gath 1
brandt' 1
forestal 4
schrager 1
lahti 1
master' 3
anchor' 1
vegas-bas 2
eden 6
prairi 3
$0.13 2
stuart 18
11-5/8 1
52-3/4 2
kinnard 1
auto-loan 5
phoni 3
$14.875 5
$139 2
bankboston' 2
attorney' 3
$56.7 5
$120.7 5
misrepres 5
finance' 3
giddings' 1
usg 1
wallboard 1
bottomlin 1
$417 2
triple-b 1
double-b-plu 1
gypsum 3
bridgeport 1
cloquet 1
cannab 1
sheetrock 1
realti 2
ffo 1
$0.03 2
reit 3
'97...will 1
$0.55 4
banyan' 1
year-high 14
bratislava 10
33-month 3
post-fix 3
maciej 3
matusiak 3
pko 3
privid 2
wig 9
uptrend 8
bux 9
5,370.15 2
322.55 2
559.8 2
closed-end 9
bse 9
lachkov 3
slovenska 3
12-share 9
slovnaft 3
189.74 2
4.17 2
185.57 3
jog 6
leu 3
ljubljana 9
slovenian 4
10-share 2
sbi 9
92.6 4
1,415.4 2
kovinotehna 2
